case_id,slice_idx,inference_time_ms,memory_usage_mb,has_tumor,image_size
case_00075,343,18.99099349975586,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00033,50,21.285533905029297,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,257,19.444704055786133,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,460,20.687580108642578,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,156,19.021034240722656,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00203,237,19.445180892944336,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,233,20.244598388671875,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00134,429,19.169092178344727,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,441,19.974946975708008,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,476,19.224166870117188,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,37,18.974781036376953,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,368,18.53632926940918,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,361,20.288467407226562,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00102,477,19.236326217651367,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,60,19.518375396728516,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,334,20.696640014648438,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00086,288,24.7650146484375,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,464,18.675565719604492,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,65,20.599842071533203,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,224,19.1800594329834,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00079,211,20.910024642944336,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00154,333,18.245935440063477,0.0,True,"torch.Size([1, 1, 224, 224])"
case_00115,218,19.875526428222656,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,123,19.307613372802734,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,478,19.893884658813477,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,398,18.968820571899414,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,109,21.053075790405273,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00102,59,19.21987533569336,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,2,20.630836486816406,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00115,359,19.86527442932129,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,100,20.550012588500977,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,290,20.479440689086914,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,510,18.938064575195312,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,377,20.64347267150879,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00125,251,21.143674850463867,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,63,22.05061912536621,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00075,240,18.85247230529785,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00133,239,20.7974910736084,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,100,20.07460594177246,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00161,367,29.85668182373047,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00113,219,19.460678100585938,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,272,22.12691307067871,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,37,19.145727157592773,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00033,277,19.048690795898438,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00194,499,21.236419677734375,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00014,329,21.087169647216797,0.0,False,"torch.Size([1, 1, 224, 224])"
case_00203,81,19.170045852661133,0.0,False,"torch.Size([1, 1, 224, 224])"
