true_positive,false_negative,false_positive,class_confusion,fn_percent,fp_percent,cc_percent,error_rate,case_id,slice_idx
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,116
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,477
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,119
1727,19,161,0,10.555555555555555,89.44444444444444,0.0,9.438909281594126,case_00161,359
1574,24,25,0,48.97959183673469,51.02040816326531,0.0,3.019100431300062,case_00115,139
0,0,55,0,0.0,100.0,0.0,100.0,case_00194,466
0,0,0,0,0.0,0.0,0.0,0.0,case_00134,239
1962,40,228,0,14.925373134328359,85.07462686567165,0.0,12.01793721973094,case_00134,315
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,504
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,244
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,35
1927,97,78,0,55.42857142857143,44.57142857142857,0.0,8.325404376784014,case_00154,179
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,269
499,13,86,1,13.0,86.0,1.0,16.69449081803005,case_00133,172
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,102
0,40,0,0,100.0,0.0,0.0,100.0,case_00154,309
113,6,63,4,8.219178082191782,86.3013698630137,5.47945205479452,39.24731182795699,case_00161,127
433,33,13,0,71.73913043478261,28.26086956521739,0.0,9.603340292275574,case_00079,141
0,0,80,0,0.0,100.0,0.0,100.0,case_00033,80
2992,53,115,120,18.40277777777778,39.93055555555556,41.666666666666664,8.78048780487805,case_00113,402
391,7,69,0,9.210526315789474,90.78947368421052,0.0,16.27408993576017,case_00113,110
0,0,45,0,0.0,100.0,0.0,100.0,case_00125,426
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,464
0,0,37,0,0.0,100.0,0.0,100.0,case_00134,405
566,11,44,0,20.0,80.0,0.0,8.856682769726248,case_00203,158
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,496
0,0,169,0,0.0,100.0,0.0,100.0,case_00079,106
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,205
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,449
0,0,0,0,0.0,0.0,0.0,0.0,case_00079,58
0,0,757,0,0.0,100.0,0.0,100.0,case_00133,52
0,0,5367,0,0.0,100.0,0.0,100.0,case_00134,51
841,18,52,0,25.714285714285715,74.28571428571429,0.0,7.683863885839736,case_00014,335
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,406
0,0,82,0,0.0,100.0,0.0,100.0,case_00075,41
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,429
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,492
332,4,41,0,8.88888888888889,91.11111111111111,0.0,11.936339522546419,case_00075,132
0,0,310,0,0.0,100.0,0.0,100.0,case_00203,509
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,475
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,411
47,2,17,0,10.526315789473685,89.47368421052632,0.0,28.78787878787879,case_00203,330
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,38
0,0,221,0,0.0,100.0,0.0,100.0,case_00194,328
566,8,71,0,10.126582278481013,89.87341772151899,0.0,12.248062015503876,case_00075,303
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,498
56,1,20,0,4.761904761904762,95.23809523809524,0.0,27.272727272727273,case_00203,416
208,9,8,0,52.94117647058823,47.05882352941177,0.0,7.555555555555555,case_00033,323
0,0,0,0,0.0,0.0,0.0,0.0,case_00154,303
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,30
1518,7,111,0,5.932203389830509,94.0677966101695,0.0,7.212713936430318,case_00033,355
0,0,1594,0,0.0,100.0,0.0,100.0,case_00115,47
3482,26,296,40,7.18232044198895,81.76795580110497,11.049723756906078,9.417273673257023,case_00102,322
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,443
1739,1,199,66,0.37593984962406013,74.81203007518798,24.81203007518797,13.266832917705736,case_00134,342
982,4,201,0,1.951219512195122,98.04878048780488,0.0,17.270429654591407,case_00086,166
1010,8,64,0,11.11111111111111,88.88888888888889,0.0,6.654343807763401,case_00086,124
1256,4,119,13,2.9411764705882355,87.5,9.558823529411764,9.770114942528735,case_00075,343
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,50
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,257
0,0,0,0,0.0,0.0,0.0,0.0,case_00033,460
1635,17,97,31,11.724137931034482,66.89655172413794,21.379310344827587,8.146067415730338,case_00161,156
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,237
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,233
0,0,1203,0,0.0,100.0,0.0,100.0,case_00134,429
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,441
0,0,85,0,0.0,100.0,0.0,100.0,case_00125,476
0,0,0,0,0.0,0.0,0.0,0.0,case_00086,37
1309,16,24,0,40.0,60.0,0.0,2.965159377316531,case_00154,368
1790,11,117,32,6.875,73.125,20.0,8.205128205128204,case_00079,361
0,0,472,0,0.0,100.0,0.0,100.0,case_00102,477
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,60
802,28,69,0,28.8659793814433,71.1340206185567,0.0,10.789766407119021,case_00014,334
133,9,54,0,14.285714285714286,85.71428571428571,0.0,32.142857142857146,case_00086,288
0,0,0,0,0.0,0.0,0.0,0.0,case_00133,464
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,65
0,0,15,0,0.0,100.0,0.0,100.0,case_00102,224
421,5,70,0,6.666666666666667,93.33333333333333,0.0,15.120967741935484,case_00079,211
1632,31,259,38,9.451219512195122,78.96341463414635,11.585365853658537,16.73469387755102,case_00154,333
0,0,4,0,0.0,100.0,0.0,100.0,case_00115,218
0,0,0,0,0.0,0.0,0.0,0.0,case_00014,123
0,0,190,0,0.0,100.0,0.0,100.0,case_00194,478
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,398
0,0,19,0,0.0,100.0,0.0,100.0,case_00102,109
0,0,0,0,0.0,0.0,0.0,0.0,case_00102,59
0,0,0,0,0.0,0.0,0.0,0.0,case_00115,2
1709,18,44,0,29.032258064516128,70.96774193548387,0.0,3.5008469791078487,case_00115,359
0,0,0,0,0.0,0.0,0.0,0.0,case_00203,100
0,0,0,0,0.0,0.0,0.0,0.0,case_00194,290
0,0,0,0,0.0,0.0,0.0,0.0,case_00161,510
1391,12,73,0,14.117647058823529,85.88235294117646,0.0,5.7588075880758804,case_00161,377
0,0,90,0,0.0,100.0,0.0,100.0,case_00125,251
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,63
0,0,0,0,0.0,0.0,0.0,0.0,case_00075,240
0,0,78,0,0.0,100.0,0.0,100.0,case_00133,239
98,8,20,0,28.571428571428573,71.42857142857143,0.0,22.22222222222222,case_00194,100
1743,11,116,0,8.661417322834646,91.33858267716535,0.0,6.791443850267379,case_00161,367
0,0,0,0,0.0,0.0,0.0,0.0,case_00113,219
